Epoch,Train AUC,Test AUC
0,0.61070794,0.603231
100,0.83522075,0.82159597
200,0.8587664,0.8453979
300,0.8716195,0.85896015
400,0.88085043,0.869173
500,0.8883701,0.877839
600,0.8932068,0.883344
700,0.8961368,0.88669384
800,0.8980787,0.88885707
900,0.8995482,0.8904421
1000,0.90071285,0.89178234
1100,0.9015889,0.89264
1200,0.9023209,0.8934282
1300,0.90294087,0.8941943
1400,0.9035376,0.8948732
1500,0.9040136,0.8953665
1600,0.9044142,0.8958004
1700,0.90475667,0.896254
1800,0.90506434,0.8966095
1900,0.90537775,0.89693326
2000,0.90563047,0.89725035
2100,0.9058471,0.897448
2200,0.90608877,0.8977208
2300,0.9062721,0.89799416
2400,0.9064223,0.8981549
2500,0.9065907,0.89840263
